,actorId,name,actorImgUrl,known,contentId
58,78110,Scott Adkins,https://image.tmdb.org/t/p/w185/9NRr2a1riIn5CWn5McZLJlk4vxR.jpg,"['닥터 스트레인지', '보이카: 언디스퓨티드 파이널', '원샷']","[284052, 348893, 811592]"
59,1522703,Hande Erçel,https://image.tmdb.org/t/p/w185/g1YsnfuYed5xw6MbXuMbVgM5vlw.jpg,"['러브 이즈 인 더 에어', 'Güneşin Kızları', 'Aşk Laftan Anlamaz']","[104877, 64164, 67570]"
60,1914924,Miles Wei,https://image.tmdb.org/t/p/w185/fT4v4LTDXGEFGHe7ZAaRTtqBFYM.jpg,"['하선생적연연불망', '누나의 첫사랑', '완미선생화차부다소저']","[128926, 98830, 110966]"
61,234352,Margot Robbie,https://image.tmdb.org/t/p/w185/euDPyqLnuwaWMHajcU3oZ9uZezR.jpg,"['버즈 오브 프레이: 할리 퀸의 황홀한 해방', '더 수어사이드 스쿼드', '더 울프 오브 월 스트리트']","[495764, 436969, 106646]"
62,192,Morgan Freeman,https://image.tmdb.org/t/p/w185/jPsLqiYGSofU4s6BjrxnefMfabb.jpg,"['쇼생크 탈출', '세븐', '루시']","[278, 807, 240832]"
63,3371804,Christine Bermas,https://image.tmdb.org/t/p/w185/zdFbplqeZbzgCJEJfnj1pPqVVH2.jpg,"['Scorpio Nights 3', 'Island of Desire', 'Relyebo']","[990485, 949983, 1027219]"
64,169337,Katherine LaNasa,https://image.tmdb.org/t/p/w185/a1T5Smn7sCEtV8NHvTa5WaxgOML.jpg,"['선거 캠페인', '프로즌 그라운드', '발렌타인 데이']","[77953, 199373, 32856]"
65,543261,Karen Gillan,https://image.tmdb.org/t/p/w185/kFLXcFdok3ShDxylr3WNreQphQm.jpg,"['가디언즈 오브 갤럭시', '쥬만지: 새로운 세계', '오큘러스']","[118340, 353486, 157547]"
66,2472212,Sae Bom,https://image.tmdb.org/t/p/w185/6q8WnNGmI9aB05rFW7AQQcqyWGq.jpg,"['화끈한 미용실', '옆집 누나의 맛', '어린 이모 3']","[748501, 660039, 665142]"
67,36819,Hayley Mills,https://image.tmdb.org/t/p/w185/ktiKpWhBy1O4F9DtB1YxUf3uGA1.jpg,"['페어런트 트랩', '폴리애나', '명탐정 디씨']","[19186, 31102, 20723]"
68,524,Natalie Portman,https://image.tmdb.org/t/p/w185/xcbZjjES1CnvMZMepbS5EaTDUzH.jpg,"['블랙 스완', '브이 포 벤데타', '토르: 천둥의 신']","[44214, 752, 10195]"
69,18277,Sandra Bullock,https://image.tmdb.org/t/p/w185/u2tnZ0L2dwrzFKevVANYT5Pb1nE.jpg,"['그래비티', '미니언즈', '버드 박스']","[49047, 211672, 405774]"
70,1813,Anne Hathaway,https://image.tmdb.org/t/p/w185/tLelKoPNiyJCSEtQTz1FGv4TLGc.jpg,"['인터스텔라', '악마는 프라다를 입는다', '거울나라의 앨리스']","[157336, 350, 241259]"
71,17521,Kelly Reilly,https://image.tmdb.org/t/p/w185/gof8bWW9E7MH30GpvA97PwGiIuu.jpg,"['플라이트', '셜록 홈즈', '이든 레이크']","[87502, 10528, 13510]"
72,86654,Austin Butler,https://image.tmdb.org/t/p/w185/zyizc36OayhIn3STXR8HXP0nnVm.jpg,"['엘비스', '원스 어폰 어 타임 인… 할리우드', '샨나라 연대기']","[614934, 466272, 64122]"
73,380,Robert De Niro,https://image.tmdb.org/t/p/w185/cT8htcckIuyI1Lqwt1CvD02ynTh.jpg,"['조커', '택시 드라이버', '인턴']","[475557, 103, 257211]"
74,6614,Cole Hauser,https://image.tmdb.org/t/p/w185/1SNoIDILoXtAUJu4f7nDCPVQH5j.jpg,"['굿 윌 헌팅', '에이리언 2020', '분노의 질주 2']","[489, 2787, 584]"
75,934,Russell Crowe,https://image.tmdb.org/t/p/w185/fbzD4utSGJlsV8XbYMLoMdEZ1Fc.jpg,"['글래디에이터', '뷰티풀 마인드', '노아']","[98, 453, 86834]"
76,30084,Anna Torv,https://image.tmdb.org/t/p/w185/muZIxj33R2EEJhm28c9hBd0AiRk.jpg,"['프린지', '마인드헌터', '퍼시픽']","[1705, 67744, 16997]"
77,5292,Denzel Washington,https://image.tmdb.org/t/p/w185/cEU2Vrdo83izpGmOvbVAOz5jCof.jpg,"['더 이퀄라이저', '일라이', '플라이트']","[156022, 20504, 87502]"
78,2590519,Han Yi-seul,https://image.tmdb.org/t/p/w185/3VeE7R9ism39ZSftTeQ3hJdNI7F.jpg,"['비뇨기과 여의사들 2', '가슴 큰 울 엄마', '구멍동서']","[677115, 707610, 724109]"
79,1215399,Taylor Sheridan,https://image.tmdb.org/t/p/w185/enrOQII7bCIf7U0WbdxiuXGfzrs.jpg,"['시카리오:  암살자의 도시', '윈드 리버', '로스트 인 더스트']","[273481, 395834, 338766]"
80,2349944,Yoo Jung,https://image.tmdb.org/t/p/w185/an05J38LZGz3sdDe0CxxXUIGHe9.jpg,"['가슴 큰 여자친구', '어린 형수 5', '배달노출: 알몸으로 유혹하기']","[587727, 652575, 694943]"
81,1371263,Devan Long,https://image.tmdb.org/t/p/w185/qPZeVZqH1z7n5LVKVdzwXbAHe6s.jpg,"['앰뷸런스', '고스트', '스콜피온']","[763285, 126027, 60797]"
82,1356210,Millie Bobby Brown,https://image.tmdb.org/t/p/w185/2685xGmq68G6tmnUbfgSR6rywEV.jpg,"['에놀라 홈즈', '기묘한 이야기', '고질라 VS. 콩']","[497582, 66732, 399566]"
83,543530,Dave Bautista,https://image.tmdb.org/t/p/w185/ymn6iQBJbQZN6BYI60YJDXVP4gF.jpg,"['가디언즈 오브 갤럭시', '가디언즈 오브 갤럭시 Vol. 2', '아미 오브 더 데드']","[118340, 283995, 503736]"
84,118545,Dakota Johnson,https://image.tmdb.org/t/p/w185/qRPULEOXibPEmSljRRvnYHxXGBq.jpg,"['그레이의 50가지 그림자', '50가지 그림자: 해방', '50가지 그림자: 심연']","[216015, 337167, 341174]"
85,2374721,Han Seo-ah,https://image.tmdb.org/t/p/w185/x2aYtUJN3bHwvvyISrwNx5uJ41k.jpg,"['어린 처제 3', '딸의 친구 4']","[698009, 619433]"
86,17276,Gerard Butler,https://image.tmdb.org/t/p/w185/hAKPWWvUyvcfqPcoBG45c8NRr6e.jpg,"['300', '백악관 최후의 날', '드래곤 길들이기']","[1271, 117263, 10191]"
87,71070,Amanda Seyfried,https://image.tmdb.org/t/p/w185/gtBUIpZ3dvLpOMIVORxE6sHSyZj.jpg,"['인 타임', '디어 존', '맘마 미아! 2']","[49530, 22971, 458423]"
88,8984,Bill Pullman,https://image.tmdb.org/t/p/w185/nozp5ZCm4ikFb8Ih2J5ncpJFOfx.jpg,"['인디펜던스 데이', '스페이스볼', '로스트 하이웨이']","[602, 957, 638]"
